week_,type_,show_title,season_title,weekly_hours_viewed,rating_,category_,prod_country_
2022-04-17,Films (Non-English),Through My Window,N/A,2280000,PG-13,Romantic Movies,Spain
2022-04-17,TV (English),Bridgerton,Bridgerton: Season 2,66610000,TV-MA,"Romantic TV Shows, TV Dramas",United States
2022-04-17,TV (English),The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 1,58470000,TV-PG,"Reality TV, Romance",United States
2022-04-17,TV (English),Anatomy of a Scandal,Anatomy of a Scandal: Limited Series,40280000,TV-MA,"TV Mysteries, Drama",United Kingdom
2022-04-17,TV (English),Our Great National Parks,Our Great National Parks: Limited Series,17090000,TV-MA,Documentaries,United States
2022-04-17,TV (English),Inventing Anna,Inventing Anna: Limited Series,13690000,TV-PG,Drama,United States
2022-04-17,TV (English),Queen of the South,Queen of the South: Season 5,13100000,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","United States, Mexico, Spain, Malta"
2022-04-17,TV (English),Better Call Saul,Better Call Saul: Season 5,12430000,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",United States
2022-04-17,TV (English),Jimmy Savile: A British Horror Story,Jimmy Savile: A British Horror Story: Limited Series,11410000,TV-MA,"Docuseries, Crime TV Shows",United Kingdom
2022-04-17,TV (English),Is It Cake?,Is It Cake?: Season 1,11210000,TV-MA,"Reality TV, Food & Travel",United States
2022-04-17,TV (Non-English),Elite,Elite: Season 5,67390000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Spain
2022-04-17,TV (Non-English),Business Proposal,Business Proposal: Season 1,24190000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-17,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,14080000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-17,TV (Non-English),Heirs to the Land,Heirs to the Land: Season 1,11810000,TV-PG,Action & Adventure,Spain
2022-04-17,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,11350000,TV-MA,Romantic TV Shows,Colombia
2022-04-17,TV (Non-English),Smother-in-Law,Smother-in-Law: Season 1,11070000,TV-MA,Comedies,Brazil
2022-04-17,TV (Non-English),Happiness,N/A,10940000,PG-13,Drama,South Korea
2022-04-17,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10400000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-04-17,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,9410000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-10,Films (English),The In Between,N/A,26770000,PG-13,"Drama, Romance",United States
2022-04-10,Films (English),The Adam Project,N/A,10900000,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",United States
2022-04-10,Films (English),The Bubble,N/A,9950000,TV-MA,Comedies,United States
2022-04-10,Films (English),Shrek Forever After,N/A,9770000,PG,"Comedies, Action & Adventure",United States
2022-04-10,Films (English),The Blind Side,N/A,8710000,TV-MA,Drama,United States
2022-04-10,Films (English),Four Brothers,N/A,8170000,TV-MA,Crime TV Shows,United States
2022-04-10,Films (English),Enough,N/A,5790000,,,
2022-04-10,Films (English),How It Ends,N/A,5650000,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",United States
2022-04-10,Films (English),Shrek,N/A,5340000,PG,"Comedies, Action & Adventure",United States
2022-04-10,Films (English),Return to Space,N/A,4550000,TV-MA,Documentaries,United States
2022-04-10,Films (Non-English),Furioza,N/A,23960000,TV-MA,Crime Movies,Poland
2022-04-10,Films (Non-English),All Hail,N/A,13300000,TV-MA,"Comedies, Dramas",Argentina
2022-04-10,Films (Non-English),Yaksha: Ruthless Operations,N/A,12540000,TV-MA,Action & Adventure,South Korea
2022-04-10,Films (Non-English),Dasvi,N/A,5690000,TV-MA,Drama,India
2022-04-10,Films (Non-English),Black Crab,N/A,4660000,TV-MA,Action & Adventure,Sweden
2022-04-10,Films (Non-English),Captain Nova,N/A,4610000,,,
2022-04-10,Films (Non-English),Enforcement,N/A,4020000,,,
2022-04-10,Films (Non-English),In Good Hands,N/A,4010000,TV-MA,Romantic Movies,Turkey
2022-04-10,Films (Non-English),Retfærdighedens ryttere,N/A,3710000,,,
2022-04-10,Films (Non-English),Ya veremos,N/A,3580000,,,
2022-04-10,TV (English),Bridgerton,Bridgerton: Season 2,115750000,TV-MA,"Romantic TV Shows, TV Dramas",United States
2022-04-10,TV (English),The Ultimatum: Marry or Move On,The Ultimatum: Marry or Move On: Season 1,43710000,TV-PG,"Reality TV, Romance",United States
2022-04-10,TV (English),Jimmy Savile: A British Horror Story,Jimmy Savile: A British Horror Story: Limited Series,17700000,TV-MA,"Docuseries, Crime TV Shows",United Kingdom
2022-04-10,TV (English),Inventing Anna,Inventing Anna: Limited Series,17320000,TV-PG,Drama,United States
2022-04-10,TV (English),Better Call Saul,Better Call Saul: Season 5,15170000,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",United States
2022-04-10,TV (English),Is It Cake?,Is It Cake?: Season 1,14760000,TV-MA,"Reality TV, Food & Travel",United States
2022-04-10,TV (English),Super PupZ,Super PupZ: Season 1,13770000,TV-Y,TV Cartoons,United States
2022-04-10,TV (English),The Last Kingdom,The Last Kingdom: Season 5,12970000,TV-MA,"British TV Shows, International TV Shows, TV Action & Adventure",United Kingdom
2022-04-10,TV (English),CoComelon,CoComelon: Season 5,12630000,TV-Y,Kids' TV,United States
2022-04-10,TV (Non-English),Elite,Elite: Season 5,51380000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Spain
2022-04-10,TV (Non-English),Business Proposal,Business Proposal: Season 1,41460000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-10,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,22530000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-10,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,14830000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-04-10,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,13050000,TV-MA,Romantic TV Shows,Colombia
2022-04-10,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10590000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-04-10,TV (Non-English),Thirty-Nine,Thirty-Nine: Season 1,9040000,TV-MA,"Comedies, Romantic TV Shows, TV Dramas",South Korea
2022-04-10,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,8130000,TV-MA,"Horror, Action, Thriller",South Korea
2022-04-10,TV (Non-English),Pedro el escamoso,Pedro el escamoso: Season 1,6890000,,,
2022-04-10,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,6210000,TV-MA,Crime TV Shows,South Korea
2022-04-03,Films (English),The Adam Project,N/A,17720000,TV-MA,"Action & Adventure, Sci-Fi & Fantasy",United States
2022-04-03,Films (English),The Bubble,N/A,12450000,TV-MA,Comedies,United States
2022-04-03,Films (English),Trust No One: The Hunt for the Crypto King,N/A,12070000,,,
2022-04-03,Films (English),The Blind Side,N/A,9880000,TV-MA,Drama,United States
2022-04-03,Films (English),6 Underground,N/A,8730000,R,"Action & Adventure, Dramas",United States
2022-04-03,Films (English),Blade Runner 2049,N/A,7850000,,,
2022-04-03,Films (English),Shrek Forever After,N/A,7690000,PG,"Comedies, Action & Adventure",United States
2022-04-03,Films (English),Gemini Man,N/A,7000000,,,
2022-04-03,Films (English),Rescued by Ruby,N/A,6380000,,,
2022-04-03,Films (English),Escape Room,N/A,6140000,,,
