week_,type_,show_title,season_title,weekly_hours_viewed,rating_,category_,prod_country_
2022-03-13,TV (English),Formula 1: Drive to Survive,Formula 1: Drive to Survive: Season 4,28010000,TV-MA,Docuseries,United Kingdom
2022-03-13,TV (English),Worst Roommate Ever,Worst Roommate Ever: Season 1,26290000,TV-PG,"Documentaries, Crime TV Shows",United States
2022-03-13,TV (English),Good Girls,Good Girls: Season 4,24500000,TV-MA,"Crime TV Shows, TV Comedies, TV Dramas",United States
2022-03-13,TV (English),Love Is Blind,Love Is Blind: Season 2,24240000,TV-MA,"Reality TV, Romantic TV Shows",United States
2022-03-13,TV (English),Queen of the South,Queen of the South: Season 5,11460000,TV-MA,"Crime TV Shows, TV Action & Adventure, TV Dramas","United States, Mexico, Spain, Malta"
2022-03-13,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,25940000,TV-MA,Crime TV Shows,South Korea
2022-03-13,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,23060000,TV-MA,Romantic TV Shows,Colombia
2022-03-13,TV (Non-English),Lies and Deceit,Lies and Deceit: Season 1,20240000,TV-PG,Thrillers,Spain
2022-03-13,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,17480000,TV-MA,"Horror, Action, Thriller",South Korea
2022-03-13,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,17110000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-13,TV (Non-English),Business Proposal,Business Proposal: Season 1,15900000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-13,TV (Non-English),Midnight at the Pera Palace,Midnight at the Pera Palace: Season 1,14690000,TV-MA,Drama,Turkey
2022-03-13,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,12250000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-13,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10340000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-03-13,TV (Non-English),The Queen of Flow,The Queen of Flow: Season 2,8410000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Colombia
2022-03-06,Films (English),The Weekend Away,N/A,44450000,TV-MA,Crime Movies,United States
2022-03-06,Films (English),Against The Ice,N/A,30730000,,,
2022-03-06,Films (English),A Madea Homecoming,N/A,26410000,TV-MA,Comedies,United States
2022-03-06,Films (English),Spider-Man: Into the Spider-Verse,N/A,13940000,PG,"Action & Adventure, Comedies",United States
2022-03-06,Films (English),Shrek 2,N/A,13040000,PG,"Comedies, Action & Adventure",United States
2022-03-06,Films (English),The Tinder Swindler,N/A,9510000,TV-MA,Documentaries,United States
2022-03-06,Films (English),Shrek,N/A,7780000,PG,"Comedies, Action & Adventure",United States
2022-03-06,Films (English),Just Like Heaven,N/A,7160000,,,
2022-03-06,Films (English),Despicable Me 2,N/A,6890000,,,
2022-03-06,Films (English),Battleship,N/A,6710000,,,
2022-03-06,Films (Non-English),Restless,N/A,26030000,,,
2022-03-06,Films (Non-English),The Pirates: The Last Royal Treasure,N/A,17710000,,,
2022-03-06,Films (Non-English),Chernobyl 1986,N/A,7730000,TV-MA,Documentaries,Russia
2022-03-06,Films (Non-English),Through My Window,N/A,5510000,PG-13,Romantic Movies,Spain
2022-03-06,Films (Non-English),Love Tactics,N/A,3660000,,,
2022-03-06,Films (Non-English),Meskina,N/A,2940000,,,
2022-03-06,Films (Non-English),A Woman With No Filter,N/A,2860000,,,
2022-03-06,Films (Non-English),My Wonderful Life,N/A,2500000,,,
2022-03-06,Films (Non-English),UFO,N/A,2440000,,,
2022-03-06,Films (Non-English),Valentina's Wedding,N/A,2420000,,,
2022-03-06,TV (English),Vikings: Valhalla,Vikings: Valhalla: Season 1,113380000,TV-PG,Action & Adventure,United States
2022-03-06,TV (English),Inventing Anna,Inventing Anna: Limited Series,77590000,TV-PG,Drama,United States
2022-03-06,TV (English),PIECES OF HER,PIECES OF HER: Season 1,53680000,TV-PG,Crime TV Shows,United States
2022-03-06,TV (English),Worst Roommate Ever,Worst Roommate Ever: Season 1,52380000,TV-PG,"Documentaries, Crime TV Shows",United States
2022-03-06,TV (English),Love Is Blind,Love Is Blind: Season 2,39750000,TV-MA,"Reality TV, Romantic TV Shows",United States
2022-03-06,TV (English),One of Us Is Lying,One of Us Is Lying: Season 1,16550000,PG-13,Crime TV Shows,United States
2022-03-06,TV (English),jeen-yuhs: A Kanye Trilogy,N/A,12200000,TV-PG,Docuseries,United States
2022-03-06,TV (English),The Cuphead Show!,The Cuphead Show!: Season 1,11810000,G,"Children & Family, Comedies, Cartoons",United States
2022-03-06,TV (English),Sweet Magnolias,Sweet Magnolias: Season 2,11780000,TV-14,"Romantic TV Shows, TV Dramas",United States
2022-03-06,TV (English),Ozark,Ozark: Season 4,9110000,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers",United States
2022-03-06,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,45930000,TV-MA,Crime TV Shows,South Korea
2022-03-06,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,27540000,TV-MA,Romantic TV Shows,Colombia
2022-03-06,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,24020000,TV-MA,"Horror, Action, Thriller",South Korea
2022-03-06,TV (Non-English),Back to 15,Back to 15: Season 1,18060000,PG-13,Comedies,Brazil
2022-03-06,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,13720000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-06,TV (Non-English),The Fame Game,The Fame Game: Season 1,11610000,TV-MA,"TV Mysteries, Drama",India
2022-03-06,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,10790000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-03-06,TV (Non-English),Midnight at the Pera Palace,Midnight at the Pera Palace: Season 1,10780000,TV-MA,Drama,Turkey
2022-03-06,TV (Non-English),Thirty-Nine,Thirty-Nine: Season 1,10490000,TV-MA,"Comedies, Romantic TV Shows, TV Dramas",South Korea
2022-03-06,TV (Non-English),Dark Desire,Dark Desire: Season 2,10400000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Mexico
2022-02-27,Films (English),A Madea Homecoming,N/A,31560000,TV-MA,Comedies,United States
2022-02-27,Films (English),The Tinder Swindler,N/A,17670000,TV-MA,Documentaries,United States
2022-02-27,Films (English),Texas Chainsaw Massacre,N/A,17440000,,,
2022-02-27,Films (English),Downfall: The Case Against Boeing,N/A,9910000,,,
2022-02-27,Films (English),Despicable Me 2,N/A,9750000,,,
2022-02-27,Films (English),Fistful of Vengeance,N/A,7560000,,,
2022-02-27,Films (English),Tall Girl 2,N/A,7470000,,,
2022-02-27,Films (English),Abominable,N/A,7330000,,,
2022-02-27,Films (English),Despicable Me,N/A,5590000,,,
2022-02-27,Films (English),Red Notice,N/A,4970000,PG-13,"Comedies, Action & Adventure",United States
2022-02-27,Films (Non-English),Restless,N/A,19810000,,,
2022-02-27,Films (Non-English),Don't Kill Me,N/A,12090000,,,
2022-02-27,Films (Non-English),Through My Window,N/A,7760000,PG-13,Romantic Movies,Spain
2022-02-27,Films (Non-English),Love Tactics,N/A,5620000,,,
2022-02-27,Films (Non-English),Parallel Mothers,N/A,4820000,,,
2022-02-27,Films (Non-English),UFO,N/A,4270000,,,
2022-02-27,Films (Non-English),A Woman With No Filter,N/A,3850000,,,
2022-02-27,Films (Non-English),Todos queremos a alguien,N/A,3670000,,,
2022-02-27,Films (Non-English),Compadres,N/A,3310000,,,
2022-02-27,Films (Non-English),Lost Paradise,N/A,3310000,,,
2022-02-27,TV (English),Inventing Anna,Inventing Anna: Limited Series,130800000,TV-PG,Drama,United States
2022-02-27,TV (English),Vikings: Valhalla,Vikings: Valhalla: Season 1,80560000,TV-PG,Action & Adventure,United States
2022-02-27,TV (English),Love Is Blind,Love Is Blind: Season 2,53600000,TV-MA,"Reality TV, Romantic TV Shows",United States
2022-02-27,TV (English),One of Us Is Lying,One of Us Is Lying: Season 1,33750000,PG-13,Crime TV Shows,United States
2022-02-27,TV (English),The Cuphead Show!,The Cuphead Show!: Season 1,20850000,G,"Children & Family, Comedies, Cartoons",United States
2022-02-27,TV (English),Sweet Magnolias,Sweet Magnolias: Season 2,18610000,TV-14,"Romantic TV Shows, TV Dramas",United States
2022-02-27,TV (English),Ozark,Ozark: Season 4,12860000,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers",United States
2022-02-27,TV (English),Space Force,Space Force: Season 2,12320000,TV-MA,TV Comedies,United States
2022-02-27,TV (English),Raising Dion,Raising Dion: Season 2,11760000,TV-PG,"Kids' TV, TV Action & Adventure, TV Dramas",United States
2022-02-27,TV (English),jeen-yuhs: A Kanye Trilogy,N/A,11460000,TV-PG,Docuseries,United States
2022-02-27,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,38860000,TV-MA,"Horror, Action, Thriller",South Korea
2022-02-27,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,32540000,TV-MA,Romantic TV Shows,Colombia
2022-02-27,TV (Non-English),Juvenile Justice,Juvenile Justice: Season 1,17410000,TV-MA,Crime TV Shows,South Korea
2022-02-27,TV (Non-English),Dark Desire,Dark Desire: Season 2,15010000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Mexico
2022-02-27,TV (Non-English),Toy Boy,Toy Boy: Season 1,12750000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Spain
2022-02-27,TV (Non-English),Twenty Five Twenty One,Twenty Five Twenty One: Season 1,11850000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-02-27,TV (Non-English),Fishbowl Wives,Fishbowl Wives: Season 1,11080000,TV-MA,Drama,Japan
2022-02-27,TV (Non-English),Forecasting Love and Weather,Forecasting Love and Weather: Season 1,11020000,TV-14,"Romantic TV Shows, TV Dramas",South Korea
2022-02-27,TV (Non-English),"Devotion, a Story of Love and Desire","Devotion, a Story of Love and Desire: Season 1",10420000,TV-MA,Drama,Italy
2022-02-20,Films (English),The Tinder Swindler,N/A,34450000,TV-MA,Documentaries,United States
2022-02-20,Films (English),Texas Chainsaw Massacre,N/A,29180000,,,
2022-02-20,Films (English),Tall Girl 2,N/A,21740000,,,
2022-02-20,Films (English),Fistful of Vengeance,N/A,18300000,,,
2022-02-20,Films (English),Despicable Me 2,N/A,11510000,,,
2022-02-20,Films (English),Abominable,N/A,8960000,,,
2022-02-20,Films (English),St. Vincent,N/A,7640000,,,
2022-02-20,Films (English),Downfall: The Case Against Boeing,N/A,7420000,,,
2022-02-20,Films (English),Despicable Me,N/A,7170000,,,
2022-02-20,Films (English),The Vanishing,N/A,7030000,,,
2022-02-20,Films (Non-English),Love Tactics,N/A,16860000,,,
2022-02-20,Films (Non-English),Through My Window,N/A,13300000,PG-13,Romantic Movies,Spain
2022-02-20,Films (Non-English),Bigbug,N/A,8110000,,,
2022-02-20,Films (Non-English),Love and Leashes,N/A,7420000,,,
2022-02-20,Films (Non-English),The Privilege,N/A,6760000,,,
2022-02-20,Films (Non-English),Parallel Mothers,N/A,6510000,,,
2022-02-20,Films (Non-English),Into the Wind,N/A,4890000,TV-MA,"Dramas, Independent Movies, International Movies",
2022-02-20,Films (Non-English),Parallel Roads,N/A,2710000,,,
2022-02-20,Films (Non-English),My Best Friend Anne Frank,N/A,2510000,,,
2022-02-20,Films (Non-English),Thoroughbred,N/A,2190000,,,
2022-02-20,TV (English),Inventing Anna,Inventing Anna: Limited Series,195970000,TV-PG,Drama,United States
2022-02-20,TV (English),Love Is Blind,Love Is Blind: Season 2,58960000,TV-MA,"Reality TV, Romantic TV Shows",United States
2022-02-20,TV (English),Sweet Magnolias,Sweet Magnolias: Season 2,29760000,TV-14,"Romantic TV Shows, TV Dramas",United States
2022-02-20,TV (English),Ozark,Ozark: Season 4,17990000,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers",United States
2022-02-20,TV (English),Raising Dion,Raising Dion: Season 2,17550000,TV-PG,"Kids' TV, TV Action & Adventure, TV Dramas",United States
2022-02-20,TV (English),One of Us Is Lying,One of Us Is Lying: Season 1,15390000,PG-13,Crime TV Shows,United States
2022-02-20,TV (English),The Cuphead Show!,The Cuphead Show!: Season 1,14630000,G,"Children & Family, Comedies, Cartoons",United States
2022-02-20,TV (English),Disenchantment,Disenchantment: Part 4,12300000,TV-14,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy",United States
2022-02-20,TV (English),The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Season 1,11040000,TV-PG,Crime TV Shows,United States
2022-02-20,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,62130000,TV-MA,"Horror, Action, Thriller",South Korea
2022-02-20,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,39750000,TV-MA,Romantic TV Shows,Colombia
2022-02-20,TV (Non-English),Toy Boy,Toy Boy: Season 2,23810000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Spain
2022-02-20,TV (Non-English),Dark Desire,Dark Desire: Season 2,22950000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Mexico
2022-02-20,TV (Non-English),"Devotion, a Story of Love and Desire","Devotion, a Story of Love and Desire: Season 1",18880000,TV-MA,Drama,Italy
2022-02-20,TV (Non-English),Fishbowl Wives,Fishbowl Wives: Season 1,15940000,TV-MA,Drama,Japan
2022-02-20,TV (Non-English),The Queen of Flow,The Queen of Flow: Season 2,11420000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Colombia
2022-02-20,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",10320000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-02-13,Films (English),The Tinder Swindler,N/A,64700000,TV-MA,Documentaries,United States
2022-02-13,Films (English),Tall Girl 2,N/A,27440000,,,
2022-02-13,Films (English),13 Hours: The Secret Soldiers of Benghazi,N/A,13270000,,,
2022-02-13,Films (English),Despicable Me 2,N/A,13080000,,,
2022-02-13,Films (English),Home Team,N/A,10550000,,,
2022-02-13,Films (English),Despicable Me,N/A,8950000,,,
2022-02-13,Films (English),Dora and the Lost City of Gold,N/A,8750000,,,
2022-02-13,Films (English),Faster,N/A,6850000,,,
2022-02-13,Films (English),The Power of the Dog,N/A,5460000,TV-MA,Action & Adventure,United States
2022-02-13,Films (English),Don't Look Up,N/A,5360000,TV-MA,"Sci-Fi, Comedies",United States
2022-02-13,Films (Non-English),Through My Window,N/A,34700000,PG-13,Romantic Movies,Spain
2022-02-13,Films (Non-English),The Privilege,N/A,18060000,,,
2022-02-13,Films (Non-English),Into the Wind,N/A,10710000,TV-MA,"Dramas, Independent Movies, International Movies",
2022-02-13,Films (Non-English),Love Tactics,N/A,8960000,,,
2022-02-13,Films (Non-English),Love and Leashes,N/A,6680000,,,
2022-02-13,Films (Non-English),My Best Friend Anne Frank,N/A,5680000,,,
2022-02-13,Films (Non-English),Bigbug,N/A,4400000,,,
2022-02-13,Films (Non-English),Child of Kamiari Month,N/A,2660000,,,
2022-02-13,Films (Non-English),Looop Lapeta,N/A,2440000,,,
2022-02-13,Films (Non-English),Luccas Neto in: The Magical Hotel 2,N/A,2060000,,,
2022-02-13,TV (English),Inventing Anna,Inventing Anna: Limited Series,77310000,TV-PG,Drama,United States
2022-02-13,TV (English),Sweet Magnolias,Sweet Magnolias: Season 2,58150000,TV-14,"Romantic TV Shows, TV Dramas",United States
2022-02-13,TV (English),Raising Dion,Raising Dion: Season 2,30350000,TV-PG,"Kids' TV, TV Action & Adventure, TV Dramas",United States
2022-02-13,TV (English),Ozark,Ozark: Season 4,24770000,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers",United States
2022-02-13,TV (English),The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Season 1,22020000,TV-PG,Crime TV Shows,United States
2022-02-13,TV (English),Love Is Blind,Love Is Blind: Season 2,21780000,TV-MA,"Reality TV, Romantic TV Shows",United States
2022-02-13,TV (English),Disenchantment,Disenchantment: Part 4,17090000,TV-14,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy",United States
2022-02-13,TV (English),In From the Cold,In From the Cold: Season 1,16310000,TV-PG,Action & Adventure,United States
2022-02-13,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,113240000,TV-MA,"Horror, Action, Thriller",South Korea
2022-02-13,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,51840000,TV-MA,Romantic TV Shows,Colombia
2022-02-13,TV (Non-English),Dark Desire,Dark Desire: Season 2,43760000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Mexico
2022-02-13,TV (Non-English),Toy Boy,Toy Boy: Season 1,18250000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Spain
2022-02-13,TV (Non-English),The Queen of Flow,The Queen of Flow: Season 2,13070000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Colombia
2022-02-13,TV (Non-English),I Am Georgina,I Am Georgina: Season 1,11920000,TV-MA,Reality TV,Spain
2022-02-13,TV (Non-English),Our Beloved Summer,Our Beloved Summer: Season 1,11910000,TV-MA,Romantic TV Shows,South Korea
2022-02-13,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11050000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-02-06,Films (English),The Tinder Swindler,N/A,45800000,TV-MA,Documentaries,United States
2022-02-06,Films (English),Home Team,N/A,33630000,,,
2022-02-06,Films (English),Despicable Me 2,N/A,14340000,,,
2022-02-06,Films (English),13 Hours: The Secret Soldiers of Benghazi,N/A,12980000,,,
2022-02-06,Films (English),Transformers: Revenge of the Fallen,N/A,9790000,,,
2022-02-06,Films (English),The Royal Treatment,N/A,8510000,PG-13,Romantic Comedies,United States
2022-02-06,Films (English),Don't Look Up,N/A,6930000,TV-MA,"Sci-Fi, Comedies",United States
2022-02-06,Films (English),Despicable Me,N/A,6850000,,,
2022-02-06,Films (English),Can You Keep a Secret?,N/A,6410000,,,
2022-02-06,Films (English),Faster,N/A,6370000,,,
2022-02-06,Films (Non-English),Through My Window,N/A,33250000,PG-13,Romantic Movies,Spain
2022-02-06,Films (Non-English),My Best Friend Anne Frank,N/A,18720000,,,
2022-02-06,Films (Non-English),My Father's Violin,N/A,4840000,,,
2022-02-06,Films (Non-English),Looop Lapeta,N/A,2460000,,,
2022-02-06,Films (Non-English),Lost Bullet,N/A,1570000,TV-MA,"Action & Adventure, Dramas, International Movies",France
2022-02-06,Films (Non-English),Perfect Strangers,N/A,1370000,,,
2022-02-06,Films (Non-English),Amandla,N/A,1370000,,,
2022-02-06,Films (Non-English),How I Fell in Love with a Gangster,N/A,1270000,,,
2022-02-06,Films (Non-English),Fierce,N/A,1250000,TV-MA,"Comedies, Dramas, International Movies",Poland
2022-02-06,Films (Non-English),The Medium,N/A,1180000,,,
2022-02-06,TV (English),The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Season 1,60480000,TV-PG,Crime TV Shows,United States
2022-02-06,TV (English),Raising Dion,Raising Dion: Season 2,49090000,TV-PG,"Kids' TV, TV Action & Adventure, TV Dramas",United States
2022-02-06,TV (English),In From the Cold,In From the Cold: Season 1,44800000,TV-PG,Action & Adventure,United States
2022-02-06,TV (English),Ozark,Ozark: Season 4,44630000,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers",United States
2022-02-06,TV (English),Sweet Magnolias,Sweet Magnolias: Season 2,43000000,TV-14,"Romantic TV Shows, TV Dramas",United States
2022-02-06,TV (English),The Sinner,The Sinner: Season 4: Percy,16690000,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",United States
2022-02-06,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,236230000,TV-MA,"Horror, Action, Thriller",South Korea
2022-02-06,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,65860000,TV-MA,Romantic TV Shows,Colombia
2022-02-06,TV (Non-English),Dark Desire,Dark Desire: Season 2,49590000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Mexico
2022-02-06,TV (Non-English),I Am Georgina,I Am Georgina: Season 1,28740000,TV-MA,Reality TV,Spain
2022-02-06,TV (Non-English),Our Beloved Summer,Our Beloved Summer: Season 1,16030000,TV-MA,Romantic TV Shows,South Korea
2022-02-06,TV (Non-English),Feria: The Darkest Light,Feria: The Darkest Light: Season 1,15960000,TV-PG,Crime TV Show,Spain
2022-02-06,TV (Non-English),The Queen of Flow,The Queen of Flow: Season 2,15050000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Colombia
2022-02-06,TV (Non-English),Boruto: Naruto Next Generations,Boruto: Naruto Next Generations: Season 1,14360000,,,
2022-02-06,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11210000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-01-30,Films (English),The Royal Treatment,N/A,26580000,PG-13,Romantic Comedies,United States
2022-01-30,Films (English),Home Team,N/A,21050000,,,
2022-01-30,Films (English),Munich – The Edge of War,N/A,17320000,,,
2022-01-30,Films (English),Don't Look Up,N/A,10250000,TV-MA,"Sci-Fi, Comedies",United States
2022-01-30,Films (English),The Secret Life of Pets 2,N/A,7850000,PG,"Children & Family Movies, Comedies","United States, France, Japan"
2022-01-30,Films (English),Red Notice,N/A,6540000,PG-13,"Comedies, Action & Adventure",United States
2022-01-30,Films (English),Hotel Transylvania 3: Summer Vacation,N/A,6280000,PG,"Children & Family Movies, Comedies",United States
2022-01-30,Films (English),Brazen,N/A,5840000,TV-MA,Thrillers,United States
2022-01-30,Films (English),The Possession of Hannah Grace,N/A,5760000,,,
2022-01-30,Films (English),A Perfect Enemy,N/A,4870000,,,
2022-01-30,Films (Non-English),My Father's Violin,N/A,12380000,,,
2022-01-30,Films (Non-English),Amandla,N/A,7990000,,,
2022-01-30,Films (Non-English),Perfect Strangers,N/A,4690000,,,
2022-01-30,Films (Non-English),Shyam Singha Roy,N/A,2880000,,,
2022-01-30,Films (Non-English),Lost Bullet,N/A,2630000,TV-MA,"Action & Adventure, Dramas, International Movies",France
2022-01-30,Films (Non-English),How I Fell in Love with a Gangster,N/A,2610000,,,
2022-01-30,Films (Non-English),Photocopier,N/A,1740000,,,
2022-01-30,Films (Non-English),Blood Red Sky,N/A,1690000,TV-MA,"Action & Adventure, Horror Movies, International Movies",
2022-01-30,Films (Non-English),Rogue City,N/A,1400000,TV-MA,"Dramas, International Movies, Thrillers",France
2022-01-30,Films (Non-English),Vicky and Her Mystery,N/A,1400000,G,Drama,France
2022-01-30,TV (English),Ozark,Ozark: Season 4,96340000,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers",United States
2022-01-30,TV (English),The Woman in the House Across the Street from the Girl in the Window,The Woman in the House Across the Street from the Girl in the Window: Season 1,40080000,TV-PG,Crime TV Shows,United States
2022-01-30,TV (English),Archive 81,Archive 81: Season 1,36270000,TV-MA,Horror,United States
2022-01-30,TV (English),Too Hot to Handle,Too Hot to Handle: Season 3,31740000,TV-MA,"Reality TV, Romantic TV Shows",United States
2022-01-30,TV (English),In From the Cold,In From the Cold: Season 1,24720000,TV-PG,Action & Adventure,United States
2022-01-30,TV (English),The Sinner,The Sinner: Season 4: Percy,21320000,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries",United States
2022-01-30,TV (English),Riverdale,Riverdale: Season 5,16460000,TV-14,"Crime TV Shows, TV Dramas, TV Mysteries",United States
2022-01-30,TV (Non-English),All of Us Are Dead,All of Us Are Dead: Season 1,124790000,TV-MA,"Horror, Action, Thriller",South Korea
2022-01-30,TV (Non-English),Café con aroma de mujer,Café con aroma de mujer: Season 1,82750000,TV-MA,Romantic TV Shows,Colombia
2022-01-30,TV (Non-English),I Am Georgina,I Am Georgina: Season 1,30630000,TV-MA,Reality TV,Spain
2022-01-30,TV (Non-English),Neymar: The Perfect Chaos,Neymar: The Perfect Chaos: Limited Series,26340000,TV-PG,Docuseries,Brazil
2022-01-30,TV (Non-English),Our Beloved Summer,Our Beloved Summer: Season 1,22730000,TV-MA,Romantic TV Shows,South Korea
2022-01-30,TV (Non-English),The Queen of Flow,The Queen of Flow: Season 2,17800000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Colombia
2022-01-30,TV (Non-English),"Yo soy Betty, la fea","Yo soy Betty, la fea: Season 1",11730000,PG-13,"Comedies, Romantic TV Shows, TV Dramas",Mexico
2022-01-30,TV (Non-English),Summer Heat,Summer Heat: Season 1,11470000,,,
2022-01-30,TV (Non-English),El marginal,El marginal: Season 4,10710000,TV-MA,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Argentina
2022-01-30,TV (Non-English),Carinha de Anjo,Carinha de Anjo: Season 1,10400000,PG,Romantic TV Shows,Brazil
2022-01-23,Films (English),The Royal Treatment,N/A,42490000,PG-13,Romantic Comedies,United States
2022-01-23,Films (English),Brazen,N/A,28570000,TV-MA,Thrillers,United States
2022-01-23,Films (English),Don't Look Up,N/A,17130000,TV-MA,"Sci-Fi, Comedies",United States
2022-01-23,Films (English),The Secret Life of Pets 2,N/A,16800000,PG,"Children & Family Movies, Comedies","United States, France, Japan"
2022-01-23,Films (English),Riverdance: The Animated Adventure,N/A,11840000,,,
2022-01-23,Films (English),Munich – The Edge of War,N/A,11110000,,,
2022-01-23,Films (English),After We Fell,N/A,8980000,,,
2022-01-23,Films (English),Red Notice,N/A,7310000,PG-13,"Comedies, Action & Adventure",United States
2022-01-23,Films (English),Back to the Outback,N/A,6320000,G,Comedies,"Australia, United States"
2022-01-23,Films (English),Mother/Android,N/A,5330000,,,
2022-01-23,Films (Non-English),How I Fell in Love with a Gangster,N/A,8690000,,,
2022-01-23,Films (Non-English),Photocopier,N/A,6920000,,,
2022-01-23,Films (Non-English),Shyam Singha Roy,N/A,3590000,,,
2022-01-23,Films (Non-English),My Father's Violin,N/A,3170000,,,
2022-01-23,Films (Non-English),Perfect Strangers,N/A,2670000,,,
2022-01-23,Films (Non-English),Rogue City,N/A,2450000,TV-MA,"Dramas, International Movies, Thrillers",France
2022-01-23,Films (Non-English),Amandla,N/A,2380000,,,
2022-01-23,Films (Non-English),Lost Bullet,N/A,2050000,TV-MA,"Action & Adventure, Dramas, International Movies",France
2022-01-23,Films (Non-English),Blood Red Sky,N/A,1870000,TV-MA,"Action & Adventure, Horror Movies, International Movies",
2022-01-23,Films (Non-English),Vicky and Her Mystery,N/A,1780000,G,Drama,France
2022-01-23,TV (English),Ozark,Ozark: Season 4,77010000,TV-MA,"Crime TV Shows, TV Dramas, TV Thrillers",United States
2022-01-23,TV (English),Archive 81,Archive 81: Season 1,70980000,TV-MA,Horror,United States
2022-01-23,TV (English),Too Hot to Handle,Too Hot to Handle: Season 3,41100000,TV-MA,"Reality TV, Romantic TV Shows",United States
2022-01-23,TV (English),Stay Close,Stay Close: Limited Series,26980000,TV-PG,Crime TV Shows,United Kingdom
2022-01-23,TV (English),Cobra Kai,Cobra Kai: Season 4,23840000,TV-14,"TV Action & Adventure, TV Comedies, TV Dramas",United States
2022-01-23,TV (English),The Witcher,The Witcher: Season 2,22640000,TV-MA,"International TV Shows, TV Action & Adventure, TV Dramas","United States, Poland"
2022-01-23,TV (English),Manifest,Manifest: Season 1,20760000,TV-14,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",United States
